sector,region,source,name,phone,website,query,url,notes
tourismus,Graubuenden,search.ch,"Golfsession GmbH","079 503 65 85","https://www.golfsession.ch/","tourismus graubuenden","https://search.ch/tel/?was=tourismus%20graubuenden","Verify manually. Respect source terms and outreach laws."
wealth_management,Zuerich,search.ch,"Blumer & Partner Dr. Vermögensverwaltung Zürich Ag","044 224 40 24","","vermoegensverwaltung zuerich","https://search.ch/tel/?was=vermoegensverwaltung%20zuerich","Verify manually. Respect source terms and outreach laws."
wealth_management,Zuerich,search.ch,"Lienhardt & Partner Privatbank Zürich AG","044 268 61 61","http://www.lienhardt.ch/","vermoegensverwaltung zuerich","https://search.ch/tel/?was=vermoegensverwaltung%20zuerich","Verify manually. Respect source terms and outreach laws."
wealth_management,Zuerich,search.ch,"Cresta Capital Partners AG, Zweigniederlassung Zürich","044 687 22 43","","vermoegensverwaltung zuerich","https://search.ch/tel/?was=vermoegensverwaltung%20zuerich","Verify manually. Respect source terms and outreach laws."
wealth_management,Zuerich,search.ch,"Gutzwiller AG Zürich","043 497 27 42","","vermoegensverwaltung zuerich","https://search.ch/tel/?was=vermoegensverwaltung%20zuerich","Verify manually. Respect source terms and outreach laws."
wealth_management,Zuerich,search.ch,"Himstedt Investment Services Zürich","043 818 06 08","","vermoegensverwaltung zuerich","https://search.ch/tel/?was=vermoegensverwaltung%20zuerich","Verify manually. Respect source terms and outreach laws."
wealth_management,Zuerich,search.ch,"Partinvest Zürich AG","044 285 90 90","","vermoegensverwaltung zuerich","https://search.ch/tel/?was=vermoegensverwaltung%20zuerich","Verify manually. Respect source terms and outreach laws."
wealth_management,Zuerich,search.ch,"Walser & Partner AG Zürich","044 213 12 22","","vermoegensverwaltung zuerich","https://search.ch/tel/?was=vermoegensverwaltung%20zuerich","Verify manually. Respect source terms and outreach laws."
wealth_management,Zuerich,search.ch,"Reyl & Cie AG","058 717 93 00","","vermoegensverwaltung zuerich","https://search.ch/tel/?was=vermoegensverwaltung%20zuerich","Verify manually. Respect source terms and outreach laws."
wealth_management,Zuerich,search.ch,"Reyl Overseas LTD.","058 717 94 00","","vermoegensverwaltung zuerich","https://search.ch/tel/?was=vermoegensverwaltung%20zuerich","Verify manually. Respect source terms and outreach laws."
wealth_management,Zuerich,search.ch,"Algebris Investments (Ireland) Limited, Dublin - Zweigniederlassung Zürich","044 797 46 01","","vermoegensverwaltung zuerich","https://search.ch/tel/?was=vermoegensverwaltung%20zuerich","Verify manually. Respect source terms and outreach laws."
private_clinic,Bern,search.ch,"Privatklinik Wyss AG, Ambulante Dienste Bern","031 868 37 60","https://www.privatklinik-wyss.ch/","privatklinik bern","https://search.ch/tel/?was=privatklinik%20bern","Verify manually. Respect source terms and outreach laws."
private_clinic,Bern,search.ch,"Gemeindepsychiatrisches Zentrum Bern West (GPZ)","058 630 79 71","","privatklinik bern","https://search.ch/tel/?was=privatklinik%20bern","Verify manually. Respect source terms and outreach laws."
private_clinic,Bern,search.ch,"Klinik Südhang Ambulatorium Bern","031 828 80 00","http://www.suedhang.ch/","privatklinik bern","https://search.ch/tel/?was=privatklinik%20bern","Verify manually. Respect source terms and outreach laws."
private_clinic,Bern,search.ch,"TAGESKLINIK BERN","031 312 83 83","","privatklinik bern","https://search.ch/tel/?was=privatklinik%20bern","Verify manually. Respect source terms and outreach laws."
private_clinic,Bern,search.ch,"Privatklinik Wyss AG","031 868 33 33","http://www.privatklinik-wyss.ch/","privatklinik bern","https://search.ch/tel/?was=privatklinik%20bern","Verify manually. Respect source terms and outreach laws."
private_clinic,Bern,search.ch,"Privatklinik Wyss AG, Ambulante Dienste Biel","031 868 37 90","https://www.privatklinik-wyss.ch/","privatklinik bern","https://search.ch/tel/?was=privatklinik%20bern","Verify manually. Respect source terms and outreach laws."
private_clinic,Bern,search.ch,"Universitätsklinik für Kinder- und Jugendpsychiatrie und Psychotherapie","058 630 98 32","","privatklinik bern","https://search.ch/tel/?was=privatklinik%20bern","Verify manually. Respect source terms and outreach laws."
private_clinic,Bern,search.ch,"SoWohnen","058 630 64 15","","privatklinik bern","https://search.ch/tel/?was=privatklinik%20bern","Verify manually. Respect source terms and outreach laws."
private_clinic,Bern,search.ch,"Personalabteilung","031 684 51 51","","privatklinik bern","https://search.ch/tel/?was=privatklinik%20bern","Verify manually. Respect source terms and outreach laws."
private_clinic,Bern,search.ch,"Klinik SGM Langenthal","062 919 22 11","","privatklinik bern","https://search.ch/tel/?was=privatklinik%20bern","Verify manually. Respect source terms and outreach laws."
manufacturing_kmu,Graubuenden,search.ch,"maissenofen gmbh","076 441 52 75","https://www.maissenofen.ch/","metallbau chur","https://search.ch/tel/?was=metallbau%20chur","Verify manually. Respect source terms and outreach laws."
